date,station name,val
1991-01-01,"YEROHAM,DAM",172.0
1992-01-01,"YEROHAM,DAM",82.0
1993-01-01,"YEROHAM,DAM",74.0
1994-01-01,"YEROHAM,DAM",255.0
1995-01-01,"YEROHAM,DAM",41.0
1996-01-01,"YEROHAM,DAM",112.0
1997-01-01,"YEROHAM,DAM",125.0
1998-01-01,"YEROHAM,DAM",38.0
1999-01-01,"YEROHAM,DAM",39.0
2000-01-01,"YEROHAM,DAM",96.27936507936508
2001-01-01,"YEROHAM,DAM",97.0
2002-01-01,"YEROHAM,DAM",89.0
2003-01-01,"YEROHAM,DAM",92.0
2004-01-01,"YEROHAM,DAM",100.0
2005-01-01,"YEROHAM,DAM",68.0
2006-01-01,"YEROHAM,DAM",142.0
2007-01-01,"YEROHAM,DAM",65.0
2008-01-01,"YEROHAM,DAM",59.0
2009-01-01,"YEROHAM,DAM",143.0
2010-01-01,"YEROHAM,DAM",39.0
2011-01-01,"YEROHAM,DAM",96.27936507936508
2012-01-01,"YEROHAM,DAM",90.0
2013-01-01,"YEROHAM,DAM",110.0
2014-01-01,"YEROHAM,DAM",149.0
2015-01-01,"YEROHAM,DAM",71.0
2016-01-01,"YEROHAM,DAM",39.5
2017-01-01,"YEROHAM,DAM",90.0
2018-01-01,"YEROHAM,DAM",69.0
2019-01-01,"YEROHAM,DAM",135.5
2020-01-01,"YEROHAM,DAM",28.5
2021-01-01,"YEROHAM,DAM",55.0
1949-01-01,YEROHAM S BOQER ROAD KM 42,
1950-01-01,YEROHAM S BOQER ROAD KM 42,
1951-01-01,YEROHAM S BOQER ROAD KM 42,
1952-01-01,YEROHAM S BOQER ROAD KM 42,85.0
1953-01-01,YEROHAM S BOQER ROAD KM 42,157.0
1954-01-01,YEROHAM S BOQER ROAD KM 42,92.0
1955-01-01,YEROHAM S BOQER ROAD KM 42,156.0
1956-01-01,YEROHAM S BOQER ROAD KM 42,146.5
1957-01-01,YEROHAM S BOQER ROAD KM 42,48.0
1958-01-01,YEROHAM S BOQER ROAD KM 42,115.0
1959-01-01,YEROHAM S BOQER ROAD KM 42,57.0
1960-01-01,YEROHAM S BOQER ROAD KM 42,94.0
1961-01-01,YEROHAM S BOQER ROAD KM 42,67.0
